"","r","scale","domain","alpha","depth","model"
"340",0.254097394631575,"liked_loved","album",0.6,4,"2"
"341",0.695611438453875,"liked_loved","album",0.7,0,"2"
"342",0.422513607328691,"liked_loved","album",0.7,1,"2"
"343",0.312390758259455,"liked_loved","album",0.7,2,"2"
"344",0.274080582290376,"liked_loved","album",0.7,3,"2"
"345",0.257376740097816,"liked_loved","album",0.7,4,"2"
"346",0.695611438453875,"liked_loved","album",0.8,0,"2"
"347",0.431232039191667,"liked_loved","album",0.8,1,"2"
"348",0.321233842872287,"liked_loved","album",0.8,2,"2"
"349",0.279663744914869,"liked_loved","album",0.8,3,"2"
"350",0.261879603320441,"liked_loved","album",0.8,4,"2"
"351",0.695611438453875,"liked_loved","album",0.9,0,"2"
"352",0.437841875180127,"liked_loved","album",0.9,1,"2"
"353",0.328483864031202,"liked_loved","album",0.9,2,"2"
"354",0.284400384710417,"liked_loved","album",0.9,3,"2"
"355",0.265264368463433,"liked_loved","album",0.9,4,"2"
"356",0.695611438453875,"liked_loved","album",1,0,"2"
"357",0.442770452831279,"liked_loved","album",1,1,"2"
"358",0.333479666328298,"liked_loved","album",1,2,"2"
"359",0.287473567088924,"liked_loved","album",1,3,"2"
"360",0.265928144089227,"liked_loved","album",1,4,"2"
"361",0.695611438453875,"liked_loved","album",1.1,0,"2"
"362",0.446374523338591,"liked_loved","album",1.1,1,"2"
"363",0.335860418898365,"liked_loved","album",1.1,2,"2"
"364",0.28815581133995,"liked_loved","album",1.1,3,"2"
"365",0.264094111011613,"liked_loved","album",1.1,4,"2"
"366",0.695611438453875,"liked_loved","album",1.2,0,"2"
"367",0.448938474380265,"liked_loved","album",1.2,1,"2"
"368",0.335586455114772,"liked_loved","album",1.2,2,"2"
"369",0.285610161606057,"liked_loved","album",1.2,3,"2"
"370",0.259506958895353,"liked_loved","album",1.2,4,"2"
"371",0.695611438453875,"liked_loved","album",1.3,0,"2"
"372",0.450682829128427,"liked_loved","album",1.3,1,"2"
"373",0.332889303665945,"liked_loved","album",1.3,2,"2"
"374",0.27945427722772,"liked_loved","album",1.3,3,"2"
"375",0.251303821357436,"liked_loved","album",1.3,4,"2"
"376",0.695611438453875,"liked_loved","album",1.4,0,"2"
"377",0.451776061700931,"liked_loved","album",1.4,1,"2"
"378",0.328189745417193,"liked_loved","album",1.4,2,"2"
"379",0.270528679214055,"liked_loved","album",1.4,3,"2"
"380",0.241664679095252,"liked_loved","album",1.4,4,"2"
"381",0.695611438453875,"liked_loved","album",1.5,0,"2"
"382",0.452346146138305,"liked_loved","album",1.5,1,"2"
"383",0.322008600412,"liked_loved","album",1.5,2,"2"
"384",0.26061769463579,"liked_loved","album",1.5,3,"2"
"385",0.234017018621982,"liked_loved","album",1.5,4,"2"
"386",0.695611438453875,"liked_loved","album",1.6,0,"2"
"387",0.452490385553557,"liked_loved","album",1.6,1,"2"
"388",0.314881578345675,"liked_loved","album",1.6,2,"2"
"389",0.251395687614578,"liked_loved","album",1.6,3,"2"
"390",0.229451186121416,"liked_loved","album",1.6,4,"2"
"391",0.695611438453875,"liked_loved","album",1.7,0,"2"
"392",0.45228319645734,"liked_loved","album",1.7,1,"2"
"393",0.307290108293457,"liked_loved","album",1.7,2,"2"
"394",0.243771307202826,"liked_loved","album",1.7,3,"2"
"395",0.227210106195978,"liked_loved","album",1.7,4,"2"
"396",0.695611438453875,"liked_loved","album",1.8,0,"2"
"397",0.451782025167785,"liked_loved","album",1.8,1,"2"
"398",0.299619396217789,"liked_loved","album",1.8,2,"2"
"399",0.2379409124423,"liked_loved","album",1.8,3,"2"
"400",0.226268105116827,"liked_loved","album",1.8,4,"2"
"401",0.695611438453875,"liked_loved","album",1.9,0,"2"
"402",0.451031739205732,"liked_loved","album",1.9,1,"2"
"403",0.292146133433449,"liked_loved","album",1.9,2,"2"
"404",0.233717205723548,"liked_loved","album",1.9,3,"2"
"405",0.225927082971434,"liked_loved","album",1.9,4,"2"
"406",0.695611438453875,"liked_loved","album",2,0,"2"
"407",0.450067845897179,"liked_loved","album",2,1,"2"
"408",0.285048511097749,"liked_loved","album",2,2,"2"
"409",0.230785800794677,"liked_loved","album",2,3,"2"
"410",0.225821545249491,"liked_loved","album",2,4,"2"
"411",0.695611438453875,"liked_loved","album",2.1,0,"2"
"412",0.448918839525373,"liked_loved","album",2.1,1,"2"
"413",0.278427303639663,"liked_loved","album",2.1,2,"2"
